season_year,teamTriCode,teamCommonName,conferenceAbbrev,divisionAbbrev,gamesPlayed,wins,losses,otLosses,points,goalFor,goalAgainst,goalDifferential,points_percentage,season_type,prior_season_year,total_mis,total_aav_spent,signing_count,signing_count_tier1,signing_count_tier2,signing_count_tier3,signing_count_tier4,has_goalie_signing,offseason_data_pending,total_aav_committed,total_contract_value,signing_count_cap,cap_ceiling,cap_ceiling_change,cap_spending_pct,near_cap_floor,heavy_spender,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,net_total_aav_committed,total_aav_lost,net_aav,mean_contract_years,max_contract_years,count_long_term,weighted_avg_years,total_ufa_decisions,count_re_signed,count_new_signings,pct_retained,aav_retained,aav_new,pct_aav_retained,no_ufa_activity,prior_season_points_pct,mis_index
2018,ANA,Ducks,W,P,82,44,25,13,101,235,216,19,0.615854,standard,2017,664569.1,3184943,5,0,3,1,1,FALSE,FALSE,3184943,7050000,5,79500000,4500000,0.04006217610062893,TRUE,FALSE,0,1,4,5,0.8,TRUE,3184943,2012500,1172443,1.4,3,0,1.7116818103181124,5,0,5,0,0,3184943,0,FALSE,0.640244,27.3
2018,ARI,Coyotes,W,P,82,29,41,12,70,208,256,-48,0.426829,standard,2017,502500,3350000,1,0,0,0,1,FALSE,FALSE,3350000,10050000,1,79500000,4500000,0.04213836477987421,TRUE,FALSE,0,0,1,2,0.5,TRUE,3350000,650805,2699195,3,3,0,3,2,1,1,0.5,1250000,3350000,0.2717391304347826,FALSE,0.426829,20.7
2018,BOS,Bruins,E,A,82,50,20,12,112,270,214,56,0.682927,standard,2017,2160015.9,8050106,6,1,2,1,2,TRUE,FALSE,8050106,23800000,6,79500000,4500000,0.10125919496855346,FALSE,FALSE,0,4,2,6,0.3333333333333333,TRUE,8050106,14000705,-5950599,2,5,1,2.708065210569898,6,0,6,0,0,8050106,0,FALSE,0.579268,88.8
2018,BUF,Sabres,E,A,82,25,45,12,62,199,280,-81,0.378049,standard,2017,962746.75,2750705,2,2,0,0,0,TRUE,FALSE,2750705,8950000,2,79500000,4500000,0.03460006289308176,TRUE,FALSE,0,0,2,3,0.6666666666666666,TRUE,2750705,6500000,-3749295,2,3,0,2.999487404138212,3,1,2,0.3333333333333333,1050000,2750705,0.2762645351322978,FALSE,0.47561,39.6
2018,CAR,Hurricanes,E,M,82,36,35,11,83,228,256,-28,0.506098,standard,2017,1825000,6700000,3,1,2,0,0,TRUE,FALSE,6700000,20350000,3,79500000,4500000,0.08427672955974842,FALSE,FALSE,2,1,1,4,0.25,TRUE,6700000,3775412,2924588,2,4,0,3.037313432835821,3,0,3,0,0,6700000,0,FALSE,0.530488,75
2018,CBJ,Blue Jackets,E,M,82,45,30,7,97,242,230,12,0.591463,standard,2017,671426.25,8125705,7,0,3,0,0,FALSE,FALSE,8125705,20500000,7,79500000,4500000,0.10221012578616352,FALSE,FALSE,0,3,4,8,0.5,TRUE,8125705,11000612,-2874907,1.7142857142857142,3,0,2.4367984070305284,8,1,7,0.125,750000,8125705,0.08450032983295412,FALSE,0.658537,27.6
2018,CGY,Flames,W,P,82,37,35,10,84,218,248,-30,0.512195,standard,2017,1677605.75,17175705,7,0,0,3,2,FALSE,FALSE,17175705,72075000,7,79500000,4500000,0.2160466037735849,FALSE,TRUE,2,1,4,7,0.5714285714285714,TRUE,17175705,2150705,15025000,2.7142857142857144,5,2,4.114905909247976,7,0,7,0,0,17175705,0,FALSE,0.573171,69
2018,CHI,Blackhawks,W,C,82,33,39,10,76,229,256,-27,0.463415,standard,2017,725123,2900412,4,1,2,0,1,TRUE,FALSE,2900412,9150000,4,79500000,4500000,0.03648316981132075,TRUE,FALSE,0,0,4,4,1,TRUE,2900412,1975705,924707,1.25,2,0,1.7757518587014534,4,0,4,0,0,2900412,0,FALSE,0.664634,29.8
2018,COL,Avalanche,W,C,82,43,30,9,95,257,237,20,0.579268,standard,2017,1490000,7100000,2,0,1,0,1,FALSE,FALSE,7100000,21300000,2,79500000,4500000,0.08930817610062892,FALSE,FALSE,0,1,2,4,0.5,TRUE,7100000,1300412,5799588,3,3,0,3,3,1,2,0.3333333333333333,665000,7100000,0.08564069542820348,FALSE,0.292683,61.3
2018,DAL,Stars,W,C,82,42,32,8,92,235,225,10,0.560976,standard,2017,1463855.75,5125705,5,1,2,0,2,TRUE,FALSE,5125705,9000000,5,79500000,4500000,0.06447427672955974,FALSE,FALSE,1,1,3,5,0.6,TRUE,5125705,2651011,2474694,1.4,2,0,1.6194269861414186,5,0,5,0,0,5125705,0,FALSE,0.481707,60.2
