signing_team,season_year,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,offseason_data_pending
ANA,2017,1,2,3,6,0.5,TRUE,FALSE
ARI,2017,1,2,4,7,0.5714285714285714,TRUE,FALSE
BOS,2017,1,0,2,3,0.6666666666666666,TRUE,FALSE
BUF,2017,2,3,2,7,0.2857142857142857,TRUE,FALSE
CAR,2017,1,0,3,5,0.6,TRUE,FALSE
CBJ,2017,1,0,0,1,0,FALSE,FALSE
CGY,2017,0,0,3,3,1,TRUE,FALSE
CHI,2017,1,5,2,8,0.25,TRUE,FALSE
COL,2017,2,1,2,7,0.2857142857142857,TRUE,FALSE
DAL,2017,1,1,4,6,0.6666666666666666,TRUE,FALSE
DET,2017,1,1,1,3,0.3333333333333333,TRUE,FALSE
EDM,2017,0,2,7,9,0.7777777777777778,TRUE,FALSE
FLA,2017,0,0,4,6,0.6666666666666666,TRUE,FALSE
LAK,2017,0,2,2,4,0.5,TRUE,FALSE
MIN,2017,1,1,5,8,0.625,TRUE,FALSE
MTL,2017,3,2,2,7,0.2857142857142857,TRUE,FALSE
NJD,2017,1,3,1,5,0.2,TRUE,FALSE
NSH,2017,1,1,3,5,0.6,TRUE,FALSE
NYI,2017,1,0,0,2,0,FALSE,FALSE
NYR,2017,2,1,2,5,0.4,TRUE,FALSE
OTT,2017,2,0,3,5,0.6,TRUE,FALSE
PHI,2017,0,1,1,2,0.5,TRUE,FALSE
PIT,2017,1,2,3,8,0.375,TRUE,FALSE
SJS,2017,1,1,1,3,0.3333333333333333,TRUE,FALSE
STL,2017,1,2,1,7,0.14285714285714285,TRUE,FALSE
TBL,2017,1,3,1,5,0.2,TRUE,FALSE
TOR,2017,1,1,4,9,0.4444444444444444,TRUE,FALSE
VAN,2017,0,2,7,9,0.7777777777777778,TRUE,FALSE
WPG,2017,0,3,3,6,0.5,TRUE,FALSE
WSH,2017,0,0,0,0,0,FALSE,FALSE
ANA,2018,0,1,4,5,0.8,TRUE,FALSE
ARI,2018,0,0,1,2,0.5,TRUE,FALSE
BOS,2018,0,4,2,6,0.3333333333333333,TRUE,FALSE
BUF,2018,0,0,2,3,0.6666666666666666,TRUE,FALSE
CAR,2018,2,1,1,4,0.25,TRUE,FALSE
CBJ,2018,0,3,4,8,0.5,TRUE,FALSE
CGY,2018,2,1,4,7,0.5714285714285714,TRUE,FALSE
CHI,2018,0,0,4,4,1,TRUE,FALSE
COL,2018,0,1,2,4,0.5,TRUE,FALSE
DAL,2018,1,1,3,5,0.6,TRUE,FALSE
DET,2018,2,3,2,8,0.25,TRUE,FALSE
EDM,2018,3,1,2,6,0.3333333333333333,TRUE,FALSE
FLA,2018,0,0,4,4,1,TRUE,FALSE
LAK,2018,0,1,1,2,0.5,TRUE,FALSE
MIN,2018,2,4,2,8,0.25,TRUE,FALSE
MTL,2018,4,0,1,5,0.2,TRUE,FALSE
NJD,2018,0,1,3,5,0.6,TRUE,FALSE
NSH,2018,2,0,2,4,0.5,TRUE,FALSE
NYI,2018,2,4,1,10,0.1,TRUE,FALSE
NYR,2018,1,1,0,3,0,FALSE,FALSE
OTT,2018,1,2,1,4,0.25,TRUE,FALSE
PHI,2018,0,1,1,2,0.5,TRUE,FALSE
PIT,2018,3,0,2,6,0.3333333333333333,TRUE,FALSE
SJS,2018,0,0,0,2,0,FALSE,FALSE
STL,2018,1,2,5,8,0.625,TRUE,FALSE
TBL,2018,0,1,0,1,0,FALSE,FALSE
TOR,2018,1,3,4,9,0.4444444444444444,TRUE,FALSE
VAN,2018,0,1,2,3,0.6666666666666666,TRUE,FALSE
VGK,2018,0,2,4,10,0.4,TRUE,FALSE
WPG,2018,1,1,2,5,0.4,TRUE,FALSE
