signing_team,season_year,total_mis,total_aav_spent,signing_count,signing_count_tier1,signing_count_tier2,signing_count_tier3,signing_count_tier4,has_goalie_signing,offseason_data_pending
ANA,2017,357845.35,1951017,6,2,2,0,2,TRUE,FALSE
ARI,2017,861355.75,4175705,7,0,3,1,3,FALSE,FALSE
BOS,2017,312605.75,1600705,3,0,1,0,2,FALSE,FALSE
BUF,2017,1632641,6250705,7,2,1,1,3,TRUE,FALSE
CAR,2017,1092676.25,6025705,4,1,1,1,1,TRUE,FALSE
CBJ,2017,162500,650000,1,0,1,0,0,FALSE,FALSE
CGY,2017,195015.9,1300106,3,0,0,0,3,FALSE,FALSE
CHI,2017,275409.9,1401934,8,1,2,0,2,TRUE,FALSE
COL,2017,1522500,5600000,5,1,2,0,2,TRUE,FALSE
DAL,2017,2277621.65,12300811,6,1,1,1,3,TRUE,FALSE
DET,2017,1076666.75,4566667,3,0,2,0,1,FALSE,FALSE
EDM,2017,425634.5,4602820,9,1,2,0,3,TRUE,FALSE
FLA,2017,798750,4800000,4,0,0,2,2,FALSE,FALSE
LAK,2017,440010.6,1500212,4,1,1,0,0,TRUE,FALSE
MIN,2017,313296.7,1253631,7,0,3,4,0,FALSE,FALSE
MTL,2017,1746442.15,7250811,7,0,4,2,1,FALSE,FALSE
NJD,2017,567620.75,6800805,5,0,1,1,1,FALSE,FALSE
NSH,2017,1242515.9,6050106,5,1,0,1,3,TRUE,FALSE
NYI,2017,162500,650000,1,0,1,0,0,FALSE,FALSE
NYR,2017,2345021.2,9250106,5,1,1,2,1,TRUE,FALSE
OTT,2017,1185105.75,5200705,5,0,2,2,1,FALSE,FALSE
PHI,2017,1092500,3400000,2,1,0,1,0,TRUE,FALSE
PIT,2017,1180246.75,4850705,6,1,4,1,0,TRUE,FALSE
SJS,2017,422500,1950000,3,1,0,0,2,TRUE,FALSE
STL,2017,260256.5,1301710,4,0,1,0,3,FALSE,FALSE
TBL,2017,552607.4,1950512,5,1,3,0,1,TRUE,FALSE
TOR,2017,936347.7,13875412,6,0,2,2,0,FALSE,FALSE
VAN,2017,1352778.1,9451623,8,1,2,1,0,TRUE,FALSE
WPG,2017,2908439,10384038,6,1,2,1,2,TRUE,FALSE
WSH,2017,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2018,664569.1,3184943,5,0,3,1,1,FALSE,FALSE
ARI,2018,502500,3350000,1,0,0,0,1,FALSE,FALSE
BOS,2018,2160015.9,8050106,6,1,2,1,2,TRUE,FALSE
BUF,2018,962746.7499999999,2750705,2,2,0,0,0,TRUE,FALSE
CAR,2018,1825000,6700000,3,1,2,0,0,TRUE,FALSE
CBJ,2018,671426.25,8125705,7,0,3,0,0,FALSE,FALSE
CGY,2018,1677605.75,17175705,7,0,0,3,2,FALSE,FALSE
CHI,2018,725123,2900412,4,1,2,0,1,TRUE,FALSE
COL,2018,1490000,7100000,2,0,1,0,1,FALSE,FALSE
DAL,2018,1463855.75,5125705,5,1,2,0,2,TRUE,FALSE
DET,2018,621387.7,2625918,7,2,1,1,1,TRUE,FALSE
EDM,2018,490233.65,2451017,6,0,3,1,2,FALSE,FALSE
FLA,2018,717676.25,2825705,4,1,1,1,1,TRUE,FALSE
LAK,2018,1035000,6900000,2,0,0,0,2,FALSE,FALSE
MIN,2018,659501.95,3963311,8,1,1,1,3,TRUE,FALSE
MTL,2018,845282,4226410,5,0,1,3,1,FALSE,FALSE
NJD,2018,357676.25,1950705,4,0,2,0,2,FALSE,FALSE
NSH,2018,702500,3200000,4,0,2,1,1,FALSE,FALSE
NYI,2018,1648916.95,7076011,7,1,1,2,3,TRUE,FALSE
NYR,2018,227676.25,650705,2,1,1,0,0,TRUE,FALSE
OTT,2018,260387.75,1301410,4,1,0,3,0,TRUE,FALSE
PHI,2018,307.15,1511,2,0,1,0,1,FALSE,FALSE
PIT,2018,1365000,5850000,5,1,1,1,2,TRUE,FALSE
SJS,2018,0,0,0,0,0,0,0,FALSE,FALSE
STL,2018,976527.45,5026211,8,1,2,1,1,TRUE,FALSE
TBL,2018,162500,650000,1,0,1,0,0,FALSE,FALSE
TOR,2018,650000.2214,4550001.107,8,0,2,2,1,FALSE,FALSE
VAN,2018,380091.8,1900612,3,0,0,1,2,FALSE,FALSE
VGK,2018,2432500,11500000,6,1,1,2,2,TRUE,FALSE
WPG,2018,552500,1950000,3,2,0,0,1,TRUE,FALSE
WSH,2018,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2019,600423,2252115,6,1,2,2,1,TRUE,FALSE
ARI,2019,181250,725000,1,0,1,0,0,FALSE,FALSE
BOS,2019,340509.4,1702926,6,1,1,1,1,TRUE,FALSE
BUF,2019,675564,13502115,6,1,1,1,0,TRUE,FALSE
CAR,2019,1459032,11526410,6,0,2,0,2,FALSE,FALSE
CBJ,2019,933870.75,17227415,7,0,0,0,1,FALSE,FALSE
CGY,2019,963028.7499999999,2752820,5,1,1,1,2,TRUE,FALSE
CHI,2019,198.3,612,2,1,0,1,0,TRUE,FALSE
COL,2019,842958.25,7352115,7,0,1,2,2,FALSE,FALSE
DAL,2019,372622.1,2239118,5,0,1,1,1,FALSE,FALSE
DET,2019,262637.7,750612,3,1,1,1,0,TRUE,FALSE
EDM,2019,260223.75,1301217,4,1,0,1,2,TRUE,FALSE
FLA,2019,2685117.6,18347479,11,2,3,2,0,TRUE,FALSE
LAK,2019,556461.5,2226410,4,0,2,0,2,FALSE,FALSE
MIN,2019,285342.6,1902622,5,0,0,2,1,FALSE,FALSE
MTL,2019,1487863.1,5252327,7,1,1,1,2,TRUE,FALSE
NJD,2019,113079.35,753127,6,0,3,0,1,FALSE,FALSE
NSH,2019,150186.35,752317,4,0,0,1,1,FALSE,FALSE
NYI,2019,529.5999999999999,1916,3,2,0,0,1,TRUE,FALSE
NYR,2019,1896675.3,12394267,4,0,0,2,2,FALSE,FALSE
OTT,2019,875241.5,3503220,5,0,1,0,1,FALSE,FALSE
PHI,2019,300881.25,1503525,7,1,4,0,2,TRUE,FALSE
PIT,2019,525282,10501410,5,0,1,0,1,FALSE,FALSE
SJS,2019,412.75,2920,4,0,1,1,0,FALSE,FALSE
STL,2019,113205,753525,6,0,2,1,3,FALSE,FALSE
TBL,2019,1218628,4354230,9,3,4,2,0,TRUE,FALSE
TOR,2019,219939,1465320,6,0,1,2,3,FALSE,FALSE
VAN,2019,563196.5,7852927,8,1,3,1,1,TRUE,FALSE
VGK,2019,564,2820,4,0,2,0,2,FALSE,FALSE
WPG,2019,423,2115,3,0,1,1,1,FALSE,FALSE
WSH,2019,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2020,1775000,7850000,5,0,3,1,1,FALSE,FALSE
ARI,2020,622767.95,3901516,6,0,0,3,3,FALSE,FALSE
BOS,2020,310387.75,6201410,4,1,0,1,0,TRUE,FALSE
BUF,2020,450644.6,2254432,7,0,2,1,2,FALSE,FALSE
CAR,2020,549.35,2527,5,1,1,0,1,TRUE,FALSE
CBJ,2020,477676.25,2210705,3,0,2,1,0,FALSE,FALSE
CGY,2020,1256919.75,5377820,6,1,2,1,2,TRUE,FALSE
CHI,2020,821271.2,3925106,4,0,1,3,0,FALSE,FALSE
COL,2020,112887.75,752115,4,0,0,2,2,FALSE,FALSE
DAL,2020,0,0,0,0,0,0,0,FALSE,FALSE
DET,2020,2187531.2,7000624,8,2,2,0,0,TRUE,FALSE
EDM,2020,1933996.75,8700705,7,1,2,3,1,TRUE,FALSE
FLA,2020,1353898.15,8875917,8,0,1,3,2,FALSE,FALSE
LAK,2020,240423,1201410,3,1,1,1,0,TRUE,FALSE
MIN,2020,1284073.7,3669487,5,2,2,1,0,TRUE,FALSE
MTL,2020,612605.75,10750705,6,0,0,0,2,FALSE,FALSE
NJD,2020,1652798.25,5050911,4,2,2,0,0,TRUE,FALSE
NSH,2020,325516.9,6501828,9,1,3,0,1,TRUE,FALSE
NYI,2020,145000,725000,1,0,0,1,0,FALSE,FALSE
NYR,2020,928266,3513205,5,1,2,2,0,TRUE,FALSE
OTT,2020,213966.9,2826211,5,0,0,1,2,FALSE,FALSE
PHI,2020,252.75,1011,2,0,2,0,0,FALSE,FALSE
PIT,2020,313451.75,1254230,7,1,2,3,1,TRUE,FALSE
SJS,2020,423,4230,6,0,1,0,1,FALSE,FALSE
STL,2020,1625625.8,6503033,7,1,2,2,0,TRUE,FALSE
TBL,2020,246.74999999999997,705,1,1,0,0,0,TRUE,FALSE
TOR,2020,404673,3729437,10,2,2,1,3,TRUE,FALSE
VAN,2020,1817661,5550805,3,1,1,1,0,TRUE,FALSE
VGK,2020,2200070.5,8801410,3,0,1,0,0,FALSE,FALSE
WPG,2020,150379,755041,9,0,1,2,0,FALSE,FALSE
WSH,2020,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2021,637500,3000000,4,0,2,1,1,FALSE,FALSE
ARI,2021,822500,6700000,8,1,0,1,2,TRUE,FALSE
BOS,2021,1442753.6,16100812,10,2,2,1,1,TRUE,FALSE
BUF,2021,1710226.25,7050905,10,2,3,5,0,TRUE,FALSE
CAR,2021,3770299.85,14751117,14,3,4,3,4,TRUE,FALSE
CBJ,2021,800000,4000000,3,0,1,1,1,FALSE,FALSE
CGY,2021,2105362.25,9104025,10,1,3,1,2,TRUE,FALSE
CHI,2021,146552.75,976211,3,0,2,0,1,FALSE,FALSE
COL,2021,487733.7,2251117,6,0,3,2,1,FALSE,FALSE
DAL,2021,2052572.1,12250206,9,1,4,0,1,TRUE,FALSE
DET,2021,1740000,7775000,6,0,4,2,0,FALSE,FALSE
EDM,2021,2168750,23875000,8,0,1,1,1,FALSE,FALSE
FLA,2021,675000,2250000,3,2,0,1,0,TRUE,FALSE
LAK,2021,2125000,9750000,3,0,1,2,0,FALSE,FALSE
MIN,2021,1540352.75,6551411,8,0,6,2,0,FALSE,FALSE
MTL,2021,1947500,16850000,8,0,2,2,0,FALSE,FALSE
NJD,2021,750347.25,10501711,6,0,1,2,1,FALSE,FALSE
NSH,2021,737500,2750000,3,1,1,0,1,TRUE,FALSE
NYI,2021,225000,1500000,2,0,0,0,2,FALSE,FALSE
NYR,2021,775226.25,3250905,3,0,2,1,0,FALSE,FALSE
OTT,2021,337687.25,2252921,7,0,1,0,3,FALSE,FALSE
PHI,2021,353120.35,1577721,6,1,2,3,0,TRUE,FALSE
PIT,2021,1382500,6850000,6,1,1,3,1,TRUE,FALSE
SJS,2021,1310015.9,5050318,6,1,0,1,1,TRUE,FALSE
STL,2021,900000,12000000,6,0,2,0,0,FALSE,FALSE
TBL,2021,812843.25,3101223,8,2,2,1,1,TRUE,FALSE
TOR,2021,3085000,13750000,10,1,2,2,5,TRUE,FALSE
VAN,2021,2003433.35,9363611,12,1,5,3,3,TRUE,FALSE
VGK,2021,1353750,5025000,4,1,1,1,1,TRUE,FALSE
WPG,2021,862500,5250000,7,1,0,2,2,TRUE,FALSE
WSH,2021,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2022,1560852.1,12689218,12,0,5,2,1,FALSE,FALSE
ARI,2022,1043931,4025905,5,1,2,2,0,TRUE,FALSE
BOS,2022,717526.5,3025106,5,1,2,1,1,TRUE,FALSE
BUF,2022,1460201.25,5500805,4,1,2,0,1,TRUE,FALSE
CAR,2022,1375000,7600000,8,1,2,1,2,TRUE,FALSE
CBJ,2022,1612601.5,10500406,3,0,1,1,1,FALSE,FALSE
CGY,2022,750766.2,3563206,5,0,1,4,0,FALSE,FALSE
CHI,2022,1265091.8,5900918,10,1,1,4,2,TRUE,FALSE
COL,2022,867530.9,5275206,8,1,1,0,4,TRUE,FALSE
DAL,2022,1437500,7850000,4,0,2,0,2,FALSE,FALSE
DET,2022,4202701.25,26988305,10,0,4,2,2,FALSE,FALSE
EDM,2022,817052.1,3513006,5,2,1,1,1,TRUE,FALSE
FLA,2022,1700000,8650000,10,2,3,2,1,TRUE,FALSE
LAK,2022,288750,825000,1,1,0,0,0,TRUE,FALSE
MIN,2022,657500,3100000,4,0,1,3,0,FALSE,FALSE
MTL,2022,487500,2250000,3,0,1,2,0,FALSE,FALSE
NJD,2022,775090.9,3550606,5,0,2,1,2,FALSE,FALSE
NSH,2022,1359435.9,5287906,7,1,3,1,2,TRUE,FALSE
NYI,2022,303125,1512500,2,0,1,0,1,FALSE,FALSE
NYR,2022,1969375,16562500,8,2,2,0,2,TRUE,FALSE
OTT,2022,1970000,18100000,8,2,2,2,0,TRUE,FALSE
PHI,2022,830026.5,4025106,5,1,1,2,1,TRUE,FALSE
PIT,2022,1033885.75,5025905,5,1,1,0,1,TRUE,FALSE
SEA,2022,1867648.6,17025512,12,2,3,3,2,TRUE,FALSE
SJS,2022,1780041.2,8575206,9,1,3,2,3,TRUE,FALSE
STL,2022,1325000,6250000,7,1,0,3,3,TRUE,FALSE
TBL,2022,628201.5,6512806,5,0,3,0,0,FALSE,FALSE
TOR,2022,1743141.9,6990736,7,1,2,3,1,TRUE,FALSE
VAN,2022,1515010.6,7825212,7,1,2,1,1,TRUE,FALSE
VGK,2022,754375,3775000,4,1,0,1,2,TRUE,FALSE
WPG,2022,603441.75,3763405,6,1,2,1,0,TRUE,FALSE
WSH,2022,0,0,0,0,0,0,0,FALSE,FALSE
ANA,2023,1012883.25,14051211,6,1,3,0,0,TRUE,FALSE
ARI,2023,3520322,25076610,13,1,3,3,2,TRUE,FALSE
BOS,2023,1146427.85,5651117,9,0,2,4,3,FALSE,FALSE
BUF,2023,2343333.25,8908333,5,2,2,1,0,TRUE,FALSE
CAR,2023,2550120.75,10200805,4,0,3,0,1,FALSE,FALSE
CBJ,2023,0,0,0,0,0,0,0,FALSE,FALSE
CGY,2023,618750,2475000,3,0,3,0,0,FALSE,FALSE
CHI,2023,41.2,206,1,0,0,1,0,FALSE,FALSE
COL,2023,1818750,11800000,11,1,2,1,5,TRUE,FALSE
DAL,2023,363791.2,1625824,6,0,1,1,0,FALSE,FALSE
DET,2023,4662847.65,23851111,13,3,3,3,2,TRUE,FALSE
EDM,2023,736310.9,6200406,9,0,1,1,3,FALSE,FALSE
