player_name,position,signing_team,previous_team,contract_value,aav,contract_years,ufa_rfa_type,spotrac_year,position_filter
Anthony Duclair,LW/RW,ARI,ARI,"$1,200,000",1200000,1,RFA,2017,lw
Anthony Duclair,LW/RW,ARI,ARI,"$1,200,000",1200000,1,RFA,2017,rw
Ryan Spooner,C/LW,BOS,BOS,"$2,825,000",2825000,1,RFA,2017,c
Ryan Spooner,C/LW,BOS,BOS,"$2,825,000",2825000,1,RFA,2017,lw
Zemgus Girgensons,C/LW,BUF,BUF,"$3,200,000",1600000,2,RFA,2017,c
Zemgus Girgensons,C/LW,BUF,BUF,"$3,200,000",1600000,2,RFA,2017,lw
Curtis Lazar,C/RW,CGY,CGY,"$1,900,000",950000,2,RFA,2017,c
Curtis Lazar,C/RW,CGY,CGY,"$1,900,000",950000,2,RFA,2017,rw
Micheal Ferland,LW/RW,CGY,CGY,"$3,500,000",1750000,2,RFA,2017,lw
Micheal Ferland,LW/RW,CGY,CGY,"$3,500,000",1750000,2,RFA,2017,rw
Lance Bouma,C/LW/RW,CHI,CGY,"$1,000,000",1000000,1,UFA,2017,c
Lance Bouma,C/LW/RW,CHI,CGY,"$1,000,000",1000000,1,UFA,2017,lw
Lance Bouma,C/LW/RW,CHI,CGY,"$1,000,000",1000000,1,UFA,2017,rw
Matt Nieto,LW/RW,COL,COL,"$1,000,000",1000000,1,RFA,2017,lw
Matt Nieto,LW/RW,COL,COL,"$1,000,000",1000000,1,RFA,2017,rw
Tomas Tatar,LW/RW,DET,DET,"$21,200,000",5300000,4,RFA,2017,lw
Tomas Tatar,LW/RW,DET,DET,"$21,200,000",5300000,4,RFA,2017,rw
Jussi Jokinen,LW/RW/C,EDM,FLA,"$1,100,000",1100000,1,UFA,2017,c
Jussi Jokinen,LW/RW/C,EDM,FLA,"$1,100,000",1100000,1,UFA,2017,lw
Jussi Jokinen,LW/RW/C,EDM,FLA,"$1,100,000",1100000,1,UFA,2017,rw
Michael Cammalleri,LW/C,LAK,NJD,"$1,000,000",1000000,1,UFA,2017,c
Michael Cammalleri,LW/C,LAK,NJD,"$1,000,000",1000000,1,UFA,2017,lw
Alex Galchenyuk,C/LW,MTL,MTL,"$14,700,000",4900000,3,RFA,2017,c
Alex Galchenyuk,C/LW,MTL,MTL,"$14,700,000",4900000,3,RFA,2017,lw
Brian Boyle,C/LW,NJD,TOR,"$5,500,000",2750000,2,UFA,2017,c
Brian Boyle,C/LW,NJD,TOR,"$5,500,000",2750000,2,UFA,2017,lw
Ryan Johansen,C/RW,NSH,NSH,"$64,000,000",8000000,8,RFA,2017,c
Ryan Johansen,C/RW,NSH,NSH,"$64,000,000",8000000,8,RFA,2017,rw
Viktor Arvidsson,LW/RW,NSH,NSH,"$29,750,000",4250000,7,RFA,2017,lw
Viktor Arvidsson,LW/RW,NSH,NSH,"$29,750,000",4250000,7,RFA,2017,rw
Jesper Fast,RW/LW,NYR,NYR,"$5,550,000",1850000,3,RFA,2017,lw
Jesper Fast,RW/LW,NYR,NYR,"$5,550,000",1850000,3,RFA,2017,rw
