spotrac_year,position_filter,rows
2017,c,81
2017,d,84
2017,g,40
2017,lw,69
2017,rw,52
2018,c,86
2018,d,88
2018,g,36
2018,lw,64
2018,rw,58
2019,c,88
2019,d,93
2019,g,32
2019,lw,77
2019,rw,51
2020,c,84
2020,d,93
2020,g,37
2020,lw,59
2020,rw,49
2021,c,68
2021,d,69
2021,g,30
2021,lw,46
2021,rw,31
2022,c,69
2022,d,69
2022,g,31
2022,lw,37
2022,rw,29
2023,c,71
2023,d,66
2023,g,30
2023,lw,47
2023,rw,35
2024,c,62
2024,d,84
2024,g,26
2024,lw,47
2024,rw,37
2025,c,49
2025,d,54
2025,g,18
2025,lw,31
2025,rw,34
